task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	5c/d26459	93891462	NFCORE_GETSTRUCTURES:GETSTRUCTURES:INPUT_CHECK:DBSHEET_CHECK (dbsheet_cluster.csv)	COMPLETED	0	2024-01-23 15:12:21.304	32.9s	2s	19.4%	8.1 MB	34.1 MB	1.9 MB	446 B
1	b4/3d0005	93891463	NFCORE_GETSTRUCTURES:GETSTRUCTURES:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_igor.csv)	COMPLETED	0	2024-01-23 15:12:22.271	32.1s	0ms	78.5%	1 MB	11 MB	2 MB	13 KB
27	78/8e2afe	93891466	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (ANATE20873)	COMPLETED	0	2024-01-23 15:12:55.636	33.6s	1.4s	82.8%	52.5 MB	286.9 MB	10.1 MB	629 B
12	93/5f887b	93891467	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:TCOFFEE_SEQREFORMAT_SIM (AMPPE07297)	COMPLETED	0	2024-01-23 15:12:56.678	32.6s	391ms	29.8%	1.5 MB	24.8 MB	97.2 KB	900 B
6	7b/b80a60	93891468	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (AILME04103)	COMPLETED	0	2024-01-23 15:12:57.740	31.6s	1.5s	83.8%	52.4 MB	287.1 MB	10.1 MB	633 B
4	ac/198579	93891469	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (ACAPL21226)	COMPLETED	0	2024-01-23 15:12:58.774	30.6s	1.2s	81.4%	5.1 MB	40.9 MB	10.1 MB	634 B
9	81/a19681	93891473	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (AMPOC05179)	COMPLETED	0	2024-01-23 15:13:03.974	30.3s	1.3s	91.7%	8.8 MB	50.3 MB	10.1 MB	629 B
15	69/d750f9	93891475	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:TCOFFEE_SEQREFORMAT_SIM (ANAPL03244)	COMPLETED	0	2024-01-23 15:13:06.201	33s	156ms	68.9%	2.8 MB	34.7 MB	97.4 KB	900 B
5	15/355a5e	93891476	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:TCOFFEE_SEQREFORMAT_SIM (AILME04103)	COMPLETED	0	2024-01-23 15:13:07.207	32.1s	400ms	19.0%	2.9 MB	35.2 MB	96.8 KB	893 B
7	ed/d25752	93891477	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:TCOFFEE_SEQREFORMAT_SIM (AMPCI13446)	COMPLETED	0	2024-01-23 15:13:08.219	31.1s	174ms	63.0%	1.5 MB	19.6 MB	97.3 KB	899 B
